2026-02-04 18:26:49 [SCORE] No existing scores.txt, starting fresh.
2026-02-04 18:26:49 [GAME] New secret number generated: 38
2026-02-04 18:26:49 [GAME] New game started.
2026-02-04 18:26:53 [MAIN] Forking client processes...
2026-02-04 18:26:53 [MAIN] Forked player 0 (PID: 604)
2026-02-04 18:26:53 [MAIN] Forked player 1 (PID: 605)
2026-02-04 18:26:53 [MAIN] Forked player 2 (PID: 606)
2026-02-04 18:26:53 [MAIN] Forked player 3 (PID: 607)
2026-02-04 18:26:53 [SCHED] Round Robin scheduler started.
2026-02-04 18:26:53 [MAIN] Server running.
2026-02-04 18:26:53 [LOG] Logger started.
2026-02-04 18:26:54 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:26:58 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:26:59 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:26:59 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:27:00 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:27:01 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:27:02 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:27:03 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:27:03 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:27:04 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:27:05 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:27:06 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:27:07 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:27:07 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:27:08 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:27:09 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:27:10 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:27:11 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:27:12 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:27:12 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:27:13 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:27:14 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:27:15 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:27:16 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:27:16 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:27:17 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:27:18 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:27:19 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:27:20 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:27:20 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:27:21 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:27:22 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:27:23 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:27:24 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:27:24 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:27:25 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:27:26 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:27:27 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:27:28 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:27:28 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:27:29 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:27:30 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:27:34 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:27:34 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:27:35 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:27:36 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:27:37 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:27:38 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:27:38 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:27:39 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:27:40 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:27:41 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:27:42 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:27:42 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:27:43 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:27:44 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:27:45 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:27:46 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:27:46 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:27:47 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:27:48 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:27:49 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:27:50 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:27:50 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:27:51 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:27:52 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:27:53 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:27:54 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:27:54 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:27:55 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:27:56 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:27:57 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:27:58 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:27:58 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:27:59 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:28:00 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:28:01 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:28:02 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:28:02 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:28:03 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:28:04 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:28:05 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:28:09 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:28:09 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:28:10 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:28:11 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:28:12 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:28:13 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:28:13 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:28:14 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:28:15 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:28:16 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:28:17 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:28:17 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:28:18 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:28:19 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:28:20 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:28:21 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:28:21 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:28:22 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:28:23 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:28:24 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:28:25 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:28:25 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:28:26 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:28:27 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:28:28 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:28:29 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:28:29 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:28:30 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:28:31 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:28:32 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:28:33 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:28:33 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:28:34 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:28:35 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:28:36 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:28:37 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:28:37 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:28:38 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:28:39 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:28:40 [SCHED] Turn moved: 1 -> 2
